2235	243
1062	36
1595	259
1004	244
2551	101
3908	30
2140	15
2230	210
1212	428
1293	2
783	30
5306	271
1628	55
2088	341
2401	37
842	28
3860	64
1938	1
711	3
2366	140
1707	2
1154	213
1138	5
2268	338
2739	142
4662	103
2305	17
4688	213
3786	293
1217	73
713	161
1257	88
4165	283
691	216
1335	4
2317	18
1347	9
734	156
1147	122
3122	109
1106	227
1212	200
1117	132
762	3
5453	1
2100	5
1516	137
691	1
920	1
851	141
5581	7
1880	82
733	62
1945	7
759	12
5545	15
2157	138
979	114
694	149
1865	28
780	125
882	77
922	87
901	321
1510	13
1538	48
741	37
1321	208
2900	87
3375	5
768	203
901	349
714	3
2203	32
4072	6
922	57
723	14
2977	70
716	243
1058	5
793	31
3586	1
684	279
2422	113
1026	5
2043	132
1316	166
1062	74
1483	97
796	34
4267	224
970	225
3756	9
2069	0
1432	70
2129	3
4276	30
2676	23
1618	31
2527	15
1934	88
4649	2
3576	1
838	49
2489	124
2132	224
5216	1
1518	125
698	76
952	35
1388	6
1023	4
2860	37
1905	1
706	288
709	209
3094	10
1151	75
1605	2
1101	22
3757	329
704	15
3327	7
986	219
1991	17
1051	2
719	18
1235	89
1192	86
1323	85
1174	12
1217	212
915	58
2504	131
4484	22
2521	13
5573	98
831	15
2046	34
4620	74
3220	90
1948	277
1191	113
1626	34
692	58
875	65
759	4
1486	259
737	69
1340	109
1124	88
4571	24
1685	22
1651	59
725	29
1027	5
2638	1
2340	0
3160	103
717	209
3790	205
837	4
2998	3
3954	215
2383	1
1013	69
3736	71
1864	18
2522	74
4874	32
1563	7
1614	7
701	98
1909	28
4218	1
1079	95
3141	127
949	0
1230	205
1655	4
2811	166
698	44
1526	4
1256	149
800	132
1192	170
1322	147
730	515
748	321
1628	9
2878	3
2143	122
1338	169
1439	391
2575	21
853	152
695	114
1570	9
1123	22
773	77
1471	40
719	17
1253	5
854	4
2932	55
1629	137
873	107
4912	53
856	100
1313	308
1815	6
3364	30
1722	162
831	9
841	180
1066	121
1759	13
2567	229
1076	95
2702	468
723	40
833	5
787	2
1309	5
1772	359
3263	2
967	67
1032	152
967	84
1026	36
3399	30
4738	2
3607	26
5319	161
1803	165
1925	79
908	52
2928	73
2127	129
1095	89
951	324
2290	56
1031	34
952	13
2324	224
1155	0
729	6
2904	48
3334	336
1923	209
2545	5
687	236
1472	229
1062	43
3994	182
1031	47
729	120
5170	254
1176	71
1189	169
2005	1
3849	301
946	5
1427	0
2163	19
2018	429
5008	229
1228	4
973	20
1173	15
3019	348
3358	37
5140	3
4452	134
938	3
715	132
2381	39
1858	0
827	126
938	8
1466	1
1325	136
3224	5
725	441
1069	271
1777	9
851	126
763	24
2036	12
3014	219
966	26
810	18
3205	127
1693	16
2456	48
861	177
2326	10
1809	5
5420	209
2305	3
1868	23
738	18
891	22
1032	157
699	268
1361	544
3221	1
1303	17
1854	15
1498	60
3241	24
911	165
2451	144
4018	51
971	182
974	18
866	43
2859	2
1655	18
1023	268
725	17
1136	87
3889	57
1229	117
1518	479
1008	5
1891	62
2088	44
3150	124
1188	191
1027	71
735	281
1170	58
1505	407
1070	30
4117	194
933	28
2257	4
1302	2
3911	1
817	163
738	205
763	141
4230	29
3089	24
828	97
746	54
2118	23
1310	46
853	51
684	269
1603	0
1004	91
822	339
4400	263
2073	291
982	8
910	90
1090	4
2288	3
1894	6
720	22
2175	6
1908	638
1750	9
3942	2
822	90
2954	7
877	44
1259	190
3109	10
1659	92
1859	63
5457	213
789	74
5292	1
4901	160
699	250
1747	216
2784	207
1217	467
817	285
1810	187
1375	136
697	208
1538	1
3609	104
3006	586
768	139
2581	92
851	125
2548	12
922	36
886	118
1616	1
5342	15
2268	352
4485	106
1524	18
769	63
3153	139
715	50
2689	138
2486	24
907	49
839	14
1706	112
1161	17
815	66
1318	0
4243	55
1677	10
4290	39
3069	52
3484	212
2221	19
695	223
5123	167
1475	444
4259	102
1030	0
1407	56
1354	51
1974	524
2092	45
868	20
1305	52
1016	27
1814	7
3197	178
4821	30
817	2
1561	17
686	82
694	172
1467	45
869	87
1067	109
2399	6
3924	0
1054	627
952	98
792	62
1298	7
2465	10
1023	77
1089	247
1122	76
992	19
2190	0
1746	110
715	274
777	28
4505	329
1533	5
1706	75
1163	39
701	125
4861	541
3923	14
1425	133
2424	8
1695	263
1563	6
699	253
684	125
851	403
983	40
2012	8
921	62
1296	8
904	18
716	88
2299	13
4902	89
2266	45
4948	15
2847	13
1273	100
2429	50
830	154
841	8
849	254
2393	2
1288	25
2416	124
3439	5
2738	194
705	4
4429	327
